City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Inuvik,CA,68.3499,-133.7218,32.76,60,40,10.36,scattered clouds
80,Key West,US,24.5557,-81.7826,82.0,82,39,17.02,scattered clouds
81,Ipixuna,BR,-1.7625,-48.8043,72.41,98,100,2.62,moderate rain
82,Te Anau,NZ,-45.4167,167.7167,49.35,69,1,2.04,clear sky
83,Meulaboh,ID,4.1363,96.1285,79.05,84,100,2.86,overcast clouds
84,Bayan,CN,46.0833,127.4,76.33,31,96,16.17,overcast clouds
85,Hermanus,ZA,-34.4187,19.2345,58.8,82,29,7.45,scattered clouds
86,Cedar City,US,37.6775,-113.0619,70.39,12,43,14.25,scattered clouds
87,Guangshui,CN,31.6199,113.9978,74.71,64,0,4.36,clear sky
88,Foix,FR,42.8333,1.5833,58.77,63,100,2.59,overcast clouds
89,Sauteurs,GD,12.2167,-61.6333,81.3,81,100,14.72,overcast clouds
90,Mandali,IQ,33.7499,45.5541,85.3,11,100,3.58,overcast clouds
91,Georgetown,MY,5.4112,100.3354,82.33,88,20,3.44,few clouds
92,Cabo San Lucas,MX,22.8909,-109.9124,81.7,70,71,13.4,broken clouds
93,Manta,EC,-0.95,-80.7333,76.78,78,75,13.8,broken clouds
94,Santa Rosa,PH,14.3122,121.1114,88.11,76,92,3.47,overcast clouds
95,Westport,US,41.1415,-73.3579,76.44,89,61,10.38,light rain
96,Iqaluit,CA,63.7506,-68.5145,24.53,79,100,24.16,light snow
97,Bredasdorp,ZA,-34.5322,20.0403,54.68,89,30,4.92,scattered clouds
98,Beloha,MG,-25.1667,45.05,63.63,95,5,6.02,clear sky
99,Severnyy,RU,50.677,36.5532,42.84,93,0,8.95,clear sky
100,Sloboda,RU,51.1421,40.3021,45.14,95,98,9.53,overcast clouds
101,Matara,LK,5.9485,80.5353,79.11,90,82,11.05,broken clouds
102,Maniitsoq,GL,65.4167,-52.9,31.59,96,100,34.94,snow
103,Waingapu,ID,-9.6567,120.2641,83.79,69,17,14.16,few clouds
104,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,79,100,13.8,overcast clouds
105,Busselton,AU,-33.65,115.3333,61.92,71,83,20.47,broken clouds
106,Letterkenny,IE,54.95,-7.7333,49.26,95,74,4.92,broken clouds
107,Avera,US,33.194,-82.5271,77.05,64,100,7.63,overcast clouds
108,Duluth,US,46.7833,-92.1066,56.68,35,100,8.05,overcast clouds
109,Takoradi,GH,4.8845,-1.7554,74.55,92,100,7.72,overcast clouds
110,Tuatapere,NZ,-46.1333,167.6833,51.78,70,57,11.48,broken clouds
111,Mehran,IR,33.1222,46.1646,85.15,11,41,4.99,scattered clouds
112,Karpogory,RU,64.0019,44.4451,29.71,75,100,12.84,overcast clouds
113,Narsaq,GL,60.9167,-46.05,32.94,92,95,5.64,overcast clouds
114,Saskylakh,RU,71.9167,114.0833,33.08,94,100,9.82,overcast clouds
115,Mangai,CD,-4.05,19.5333,69.75,98,100,1.12,overcast clouds
116,Port Elizabeth,ZA,-33.918,25.5701,52.09,93,0,3.44,clear sky
117,Dikson,RU,73.5069,80.5464,24.26,89,76,11.07,broken clouds
118,Centralia,US,46.7162,-122.9543,71.69,49,40,1.99,scattered clouds
119,Manoel Urbano,BR,-8.8389,-69.2597,76.33,69,97,2.24,overcast clouds
120,Hammerfest,NO,70.6634,23.6821,45.05,70,75,0.0,broken clouds
121,Kloulklubed,PW,7.0419,134.2556,82.9,71,100,11.52,overcast clouds
122,Souillac,MU,-20.5167,57.5167,73.78,83,75,8.05,broken clouds
123,Nikolskoye,RU,59.7035,30.7861,44.87,57,94,2.57,overcast clouds
124,Abha,SA,18.2164,42.5053,69.62,27,0,0.0,clear sky
125,Constantine,DZ,36.365,6.6147,63.81,48,0,2.3,clear sky
126,Vestmannaeyjar,IS,63.4427,-20.2734,49.17,80,4,7.18,clear sky
127,Grindavik,IS,63.8424,-22.4338,48.15,93,0,6.91,clear sky
128,Berlevag,NO,70.8578,29.0864,39.15,81,100,3.44,overcast clouds
129,Krotovka,RU,53.2858,51.1686,42.35,91,100,1.61,overcast clouds
130,Saint Anthony,US,45.0205,-93.218,56.82,45,30,4.76,scattered clouds
131,Olafsvik,IS,64.8945,-23.7142,42.35,67,0,11.14,clear sky
132,Namibe,AO,-15.1961,12.1522,68.67,68,0,5.41,clear sky
133,Kavieng,PG,-2.5744,150.7967,85.15,64,73,16.82,broken clouds
134,Anzio,IT,41.4853,12.6179,66.9,98,64,5.23,broken clouds
135,Puerto Ayora,EC,-0.7393,-90.3518,71.89,90,32,7.58,scattered clouds
136,Rudbar,AF,30.15,62.6,66.47,28,0,12.71,clear sky
137,Hami,CN,42.8,93.45,85.5,14,87,4.97,overcast clouds
138,Jining,CN,35.405,116.5814,83.61,26,4,7.96,clear sky
139,Bull Savanna,JM,17.8868,-77.5902,75.58,82,98,9.35,overcast clouds
140,Pagudpud,PH,18.5616,120.7868,85.77,68,63,2.33,broken clouds
141,Marang,MY,5.2056,103.2059,78.71,80,100,2.24,overcast clouds
142,Puro,PH,12.4841,123.3827,80.55,76,95,4.85,overcast clouds
143,Esperance,AU,-33.8667,121.9,65.14,67,0,14.65,clear sky
144,Tiznit,MA,29.5833,-9.5,73.18,53,37,3.0,scattered clouds
145,Severo-Kurilsk,RU,50.6789,156.125,41.77,96,100,14.99,overcast clouds
146,Saint-Georges,GD,12.0564,-61.7485,82.08,74,20,23.02,few clouds
147,Tamuin,MX,21.9833,-98.75,87.78,59,0,14.94,clear sky
148,Mahebourg,MU,-20.4081,57.7,73.69,83,75,8.05,broken clouds
149,Kavaratti,IN,10.5669,72.642,83.39,80,100,19.1,overcast clouds
150,Codrington,AU,-38.2667,141.9667,56.89,58,0,4.59,clear sky
151,Sibu,MY,2.3,111.8167,79.11,83,20,7.0,few clouds
152,Paita,PE,-5.0892,-81.1144,67.19,82,8,17.16,clear sky
153,Barkhan,PK,29.8977,69.5256,73.51,12,0,6.33,clear sky
154,Tiksi,RU,71.6872,128.8694,31.46,89,7,4.34,clear sky
155,Tromso,NO,69.6496,18.957,45.37,81,75,4.61,broken clouds
156,Salaga,GH,8.5508,-0.5188,75.02,87,97,2.84,overcast clouds
157,Upernavik,GL,72.7868,-56.1549,31.62,84,99,24.99,overcast clouds
158,Yima,CN,34.7381,111.8839,74.23,48,10,5.28,clear sky
159,Yelniki,RU,54.6207,43.876,28.45,87,37,6.04,scattered clouds
160,Coquimbo,CL,-29.9533,-71.3436,56.93,94,0,3.44,clear sky
161,Bubaque,GW,11.2833,-15.8333,78.06,74,21,14.41,few clouds
162,Kieta,PG,-6.2167,155.6333,85.32,64,14,4.7,few clouds
163,Kamarion,GR,36.8,25.8167,68.4,84,18,9.93,few clouds
164,East London,ZA,-33.0153,27.9116,59.43,81,51,3.85,broken clouds
165,Diamantino,BR,-14.4086,-56.4461,67.21,56,3,2.8,clear sky
166,Vardo,NO,70.3705,31.1107,37.38,87,100,17.27,overcast clouds
167,Olinda,BR,-8.0089,-34.8553,76.86,85,24,14.56,few clouds
168,Ilulissat,GL,69.2167,-51.1,32.02,100,100,0.0,overcast clouds
169,Razole,IN,16.4833,81.8333,88.07,55,45,7.92,scattered clouds
170,Thompson,CA,55.7435,-97.8558,64.56,19,100,8.05,overcast clouds
171,Oster,UA,50.9506,30.8823,47.77,92,100,6.04,overcast clouds
172,Padang,ID,-0.9492,100.3543,80.56,74,100,2.39,overcast clouds
173,Elko,US,41.0002,-115.5012,61.05,22,100,11.99,overcast clouds
174,Chokurdakh,RU,70.6333,147.9167,33.46,100,100,6.49,overcast clouds
175,Huicungo,PE,-7.2833,-76.8,75.25,77,86,0.74,overcast clouds
176,Bilibino,RU,68.0546,166.4372,51.06,50,98,8.01,overcast clouds
177,Cidreira,BR,-30.1811,-50.2056,58.98,78,38,7.16,scattered clouds
178,Inta,RU,66.0317,60.1659,35.11,88,100,18.79,overcast clouds
179,Edmundston,CA,47.3737,-68.3251,59.52,88,100,19.57,moderate rain
180,Malayal,PH,7.208,121.942,81.27,77,100,1.97,light rain
181,Ancud,CL,-41.8697,-73.8203,47.86,73,19,15.9,light rain
182,Sol-Iletsk,RU,51.1631,54.9918,51.89,97,100,18.39,overcast clouds
183,Bethel,US,41.3712,-73.414,73.63,91,20,0.0,few clouds
184,Khatanga,RU,71.9667,102.5,33.44,78,100,8.52,overcast clouds
185,Umba,RU,66.6871,34.3429,32.23,73,0,5.37,clear sky
186,Quatre Cocos,MU,-20.2078,57.7625,73.51,76,9,12.48,clear sky
187,Hithadhoo,MV,-0.6,73.0833,83.37,73,100,13.98,overcast clouds
188,Ganzhou,CN,28.8184,115.4327,66.99,92,100,1.88,overcast clouds
189,Sanpaul,RO,46.45,24.35,55.45,76,75,5.75,broken clouds
190,Sao Filipe,CV,14.8961,-24.4956,71.96,75,21,7.36,few clouds
