City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
156,Salaga,GH,75.02,overcast clouds,8.5508,-0.5188,Bore Nada Guest House
158,Yima,CN,74.23,clear sky,34.7381,111.8839,Yima Hotel
161,Bubaque,GW,78.06,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
162,Kieta,PG,85.32,few clouds,-6.2167,155.6333,Uruna Bay Retreat
163,Kamarion,GR,68.4,few clouds,36.8,25.8167,Rooms Eleni
165,Diamantino,BR,67.21,clear sky,-14.4086,-56.4461,Hotel Delta
167,Olinda,BR,76.86,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
169,Razole,IN,88.07,scattered clouds,16.4833,81.8333,Sterling Palavelli Godavari
172,Padang,ID,80.56,overcast clouds,-0.9492,100.3543,Mercure Padang
175,Huicungo,PE,75.25,overcast clouds,-7.2833,-76.8,Gran Pajaten Trek
183,Bethel,US,73.63,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
186,Quatre Cocos,MU,73.51,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
187,Hithadhoo,MV,83.37,overcast clouds,-0.6,73.0833,Scoop Guest House
188,Ganzhou,CN,66.99,overcast clouds,28.8184,115.4327,Zhanqian Grand Hotel
190,Sao Filipe,CV,71.96,few clouds,14.8961,-24.4956,Hotel Xaguate
194,Dosso,NE,83.32,light rain,13.049,3.1937,Hotel Toubal
196,Cartagena,CO,80.38,clear sky,10.3997,-75.5144,Hotel Colombia Real - Cartagena
197,Nome,US,67.15,overcast clouds,64.5011,-165.4064,Dredge 7 Inn
202,Najran,SA,73.56,clear sky,17.4924,44.1277,محمد هادي ال فطيح
203,Sao Felix Do Xingu,BR,72.52,clear sky,-6.6447,-51.995,Rio Xingu Camping
204,Wabag,PG,70.9,few clouds,-5.4781,143.7021,Shalom Inn
205,Juan Aldama,MX,84.13,clear sky,24.2908,-103.3944,Hotel Morales
207,Korla,CN,78.71,overcast clouds,41.7597,86.1469,Gulisitan Hotel
208,Canton,CN,76.87,overcast clouds,23.1167,113.25,Shangjiuwan Hotel
209,Champerico,GT,82.6,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
210,Carnarvon,AU,71.49,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
211,Ulaangom,MN,75.45,few clouds,49.9811,92.0667,Achit Nuur Hotel & Restaurant
218,Hasaki,JP,66.29,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
219,Kalianget,ID,84.43,few clouds,-7.05,113.9333,Pesanggrahan Garam
220,Xinmin,CN,79.39,few clouds,41.9908,122.8253,Agricultural Machinery Hotel
221,Matay,EG,68.61,clear sky,28.419,30.7792,Nag Aespen
223,San Isidro,PE,65.01,mist,-12.1167,-77.05,Radisson Hotel Decapolis Miraflores
228,Buin,CL,65.12,light rain,-33.7333,-70.75,Paihuen
231,Victoria,HK,80.19,overcast clouds,22.2855,114.1577,Mini Central
232,Alihe,CN,66.45,few clouds,50.5667,123.7167,Alihe Forestry Hotel
237,Balad,IQ,79.57,broken clouds,34.0164,44.1453,رضاوي زنوبة
240,Chemainus,CA,67.01,overcast clouds,48.9163,-123.7194,Fuller Lake Motel
241,Mihara,JP,72.48,overcast clouds,34.4,133.0833,Mihara Station Hotel
243,Sakaiminato,JP,66.07,clear sky,35.55,133.2333,Italian pasley
245,Fresnillo,MX,80.33,clear sky,23.1667,-102.8833,HOTEL DEL FRESNO
247,Chandauli,IN,78.85,clear sky,25.2667,83.2667,Mustafa's House 🏡
252,Kahului,US,83.97,clear sky,20.8947,-156.47,Maui Seaside Hotel
253,Cubara,CO,73.18,clear sky,7.0008,-72.1085,Hotel Los Amigos
255,Monrovia,LR,75.54,heavy intensity rain,6.3005,-10.7969,Sunset Inn
258,Baruun-Urt,MN,70.16,clear sky,46.6806,113.2792,Ахмадын амралт сувилал
259,Mbandaka,CD,71.17,overcast clouds,0.0487,18.2603,Guest House Epervier
260,Hitoyoshi,JP,67.64,overcast clouds,32.2167,130.75,Ryokan Ayu-no-Sato
261,Buala,SB,85.05,light rain,-8.145,159.5921,Maringe Lagoon Lodge
262,Katherine,AU,84.52,overcast clouds,-14.4667,132.2667,Pine Tree Motel
264,Touros,BR,75.09,few clouds,-5.1989,-35.4608,INN NEW HORIZON
265,Grand Gaube,MU,73.8,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
272,Bandarbeyla,SO,80.58,overcast clouds,9.4942,50.8122,JABIR HOTEL
273,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
275,Santa Cruz,BO,65.43,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
281,Yeppoon,AU,71.38,overcast clouds,-23.1333,150.7333,Villa Mar Colina
282,Sinjar,IQ,65.07,scattered clouds,36.3209,41.8754,زوماني فون 1
